source_code	source_text	display_level	selectable	sort_sequence
0000XX	All sources	0	T	1	
00XXXX	Chemicals and chemical products, unspecified	2	T	3	
01XXXX	Acids	2	T	4	
024XXX	Sodium and potassium hydroxide, potassium carbonate	3	T	53	
02XXXX	Alkalies	2	T	38	
0312XX	Ethanol	4	T	61	
0319XX	Alcohol, n.e.c.	4	T	66	
031XXX	Alcohols	3	T	58	
0391XX	Nitro hydrocarbons	4	T	110	
039XXX	Aromatics and hydrocarbon derivatives, except halogenated, n.e.c.	3	T	109	
03XXXX	Aromatics and hydrocarbon derivatives, except halogenated	2	T	56	
0420XX	Chlorine compounds, unspecified	4	T	122	
0429XX	Chlorine compounds, n.e.c.	4	T	130	
042XXX	Chlorine and chlorine compounds	3	T	121	
0432XX	Fluorotrichloromethane	4	T	134	
043XXX	Fluorine and fluorine compounds	3	T	131	
04XXXX	Halogens and halogen compounds	2	T	112	
056XXX	Other metallics and compounds	3	T	152	
05XXXX	Metallic particulates, trace elements, dusts, powders, fumes	2	T	141	
06XXXX	Agricultural chemicals and other pesticides	2	T	165	
073XXX	Cleaning and polishing agents, disinfectants, n.e.c.	3	T	196	
0740XX	Drugs and medicines, unspecified	4	T	208	
0742XX	Drugs--nonmedicinal	4	T	210	
0743XX	Medicines	4	T	211	
0748XX	Multiple drugs, medicines	4	T	212	
0749XX	Drugs and medicines, n.e.c.	4	T	213	
074XXX	Drugs, alcohol, medicines	3	T	207	
0754XX	Pyrotechnics, fireworks	4	T	219	
075XXX	Explosives, blasting agents, n.e.c.	3	T	214	
0768XX	Multiple paint, lacquer, shellac, or varnishes	4	T	225	
076XXX	Paint, lacquer, shellac, varnish, n.e.c.	3	T	221	
0771XX	Naphtha solvents	4	T	229	
0772XX	Paint removers, thinners	4	T	230	
077XXX	Solvents, degreasers, n.e.c.	3	T	227	
07XXXX	Chemical products--general	2	T	189	
082XXX	Natural gas	3	T	247	
083XXX	Petroleum, crude oil	3	T	248	
0840XX	Petroleum fuels, distillates, products, unspecified	4	T	250	
0842XX	Gasoline, diesel fuel, jet fuel	4	T	252	
0844XX	Lubricating greases, cutting oils	4	T	254	
0845XX	Propane	4	T	255	
0849XX	Other petroleum fuels, distillates, products	4	T	256	
084XXX	Petroleum fuels, distillates, products, n.e.c.	3	T	249	
08XXXX	Coal, natural gas, petroleum fuels and products, n.e.c.	2	T	240	
0911XX	Ammonia, anhydrous ammonia	4	T	261	
091XXX	Ammonia and ammonium compounds	3	T	259	
0922XX	Liquid helium	4	T	270	
092XXX	Cryogenic gases	3	T	267	
093XXX	Cyanide and cyanide compounds, n.e.c.	3	T	275	
0941XX	Carbon monoxide	4	T	282	
0943XX	Nitrogen oxides	4	T	284	
094XXX	Oxygen and oxygen compounds, n.e.c.	3	T	280	
0952XX	Resins	4	T	292	
0954XX	Vinyl chloride, polyvinyl chloride	4	T	294	
0959XX	Plastics, resins, n.e.c.	4	T	295	
095XXX	Plastics, resins	3	T	289	
0961XX	Methane gas	4	T	298	
096XXX	Sewer gas, mine gas, methane	3	T	296	
0972XX	Hydrogen sulfide	4	T	304	
097XXX	Sulfur and sulfur compounds	3	T	301	
0989XX	Other multiple chemicals or chemical mixtures	4	T	313	
098XXX	Multiple chemicals or chemical mixtures, n.e.c.	3	T	308	
099XXX	Chemicals and chemical products, n.e.c.	3	T	314	
09XXXX	Other chemicals	2	T	258	
0XXXXX	Chemicals and chemical products	1	T	2	
111XXX	Bags, sacks, totes	3	T	319	
112XXX	Barrels, kegs, drums	3	T	320	
114XXX	Boxes, crates, cartons	3	T	322	
115XXX	Buckets, baskets, pails	3	T	323	
118XXX	Tanks, bins, vats	3	T	326	
119XXX	Containers--nonpressurized, n.e.c.	3	T	327	
11XXXX	Containers--nonpressurized	2	T	317	
121XXX	Boilers	3	T	330	
122XXX	Hoses	3	T	331	
124XXX	Pressure lines, except hoses	3	T	333	
125XXX	Propane tanks	3	T	334	
129XXX	Containers--pressurized, n.e.c.	3	T	335	
12XXXX	Containers--pressurized	2	T	328	
131XXX	Bundles, bales	3	T	338	
133XXX	Reels, rolls	3	T	340	
13XXXX	Containers--variable restraint	2	T	336	
16XXXX	Skids, pallets	2	T	353	
1XXXXX	Containers	1	T	315	
212XXX	Cabinets, cases--display, storage	3	T	360	
214XXX	Garment racks, other racks	3	T	362	
217XXX	Shelving	3	T	365	
219XXX	Cases, cabinets, racks, shelves, n.e.c.	3	T	366	
21XXXX	Cases, cabinets, racks, shelves	2	T	357	
221XXX	Floor coverings, nonstructural	3	T	369	
22XXXX	Floor, wall, window coverings	2	T	367	
232XXX	Benches, workbenches, saw horses	3	T	376	
233XXX	Chairs	3	T	377	
236XXX	Tables, worktables	3	T	380	
23XXXX	Furniture	2	T	373	
2412XX	Light bulbs	4	T	387	
2419XX	Lighting equipment, n.e.c.	4	T	388	
241XXX	Lighting equipment	3	T	384	
242XXX	Plumbing fixtures	3	T	389	
24XXXX	Other fixtures	2	T	382	
2XXXXX	Furniture and fixtures	1	T	355	
30XXXX	Machinery, unspecified	2	T	398	
310XXX	Agricultural and garden machinery, unspecified	3	T	400	
3111XX	Balers	4	T	403	
3112XX	Combines	4	T	404	
3113XX	Harvesters, reapers	4	T	405	
3119XX	Harvesting and threshing machinery, n.e.c.	4	T	407	
311XXX	Harvesting and threshing machinery	3	T	401	
3122XX	Lawn mowers--riding	4	T	411	
3123XX	Mowers--tractor	4	T	412	
3129XX	Mowing machinery, n.e.c.	4	T	413	
312XXX	Mowing machinery	3	T	408	
3131XX	Plowing and cultivating machinery	4	T	416	
3132XX	Seed planting machinery	4	T	417	
3133XX	Spreading machinery--agricultural	4	T	418	
313XXX	Plowing, planting, and fertilizing machinery	3	T	414	
3192XX	Feed grinders, crushers, mixers--agricultural	4	T	423	
3193XX	Spraying and dusting machinery--agricultural	4	T	424	
3199XX	Agricultural and garden machinery, n.e.c.	4	T	425	
319XXX	Other agricultural and garden machinery	3	T	420	
31XXXX	Agricultural and garden machinery	2	T	399	
320XXX	Construction, logging, and mining machinery, unspecified	3	T	427	
3210XX	Excavating machinery, unspecified	4	T	429	
3211XX	Backhoes	4	T	430	
3212XX	Bulldozers	4	T	431	
3214XX	Trenchers	4	T	433	
3219XX	Excavating machinery, n.e.c.	4	T	434	
321XXX	Excavating machinery	3	T	428	
3220XX	Loaders, unspecified	4	T	436	
3221XX	Bucket loaders	4	T	437	
3222XX	End loaders	4	T	438	
3223XX	Front end loaders	4	T	439	
3229XX	Loaders, n.e.c.	4	T	440	
322XXX	Loaders	3	T	435	
3231XX	Chippers	4	T	443	
3234XX	Log loaders, including heel boom	4	T	446	
3235XX	Forwarder/yarder, skidder	4	T	447	
3238XX	Skidder--cable and grapple	4	T	450	
3239XX	Logging and wood processing machinery--specialized, n.e.c.	4	T	451	
323XXX	Logging and wood processing machinery--specialized	3	T	441	
3241XX	Drilling machines, drilling augers	4	T	454	
3249XX	Mining and drilling machinery, n.e.c.	4	T	457	
324XXX	Mining and drilling machinery	3	T	452	
3250XX	Road grading and surfacing machinery, unspecified	4	T	459	
3252XX	Graders, levellers, planers, scrapers	4	T	461	
3254XX	Steam rollers, road pavers	4	T	463	
3259XX	Road grading and surfacing machinery, n.e.c.	4	T	464	
325XXX	Road grading and surfacing machinery	3	T	458	
3291XX	Agitators, mixers--earth, mineral	4	T	467	
3292XX	Compactors, crushers, pulverizers--earth, mineral	4	T	468	
3299XX	Construction, logging, and mining machinery, n.e.c.	4	T	471	
329XXX	Other construction, logging, and mining machinery	3	T	465	
32XXXX	Construction, logging, and mining machinery	2	T	426	
3311XX	Air conditioning units	4	T	476	
3314XX	Refrigerators, freezers, ice makers	4	T	479	
331XXX	Cooling and humidifying machinery and appliances	3	T	474	
3324XX	Furnaces, heaters	4	T	486	
3326XX	Ranges, cooking ovens, grills, toasters, food warmers	4	T	488	
332XXX	Heating and cooking machinery and appliances	3	T	481	
3339XX	Washers, dryers, and cleaning machinery and appliances, n.e.c.	4	T	499	
333XXX	Washers, dryers, and cleaning machinery and appliances	3	T	491	
